no,name,year,description,developer,genre,ratings,harga,toko_1,alamat_1,toko_2,alamat_2,toko_3,alamat_3
1,Red Dead Redemption II,2018,"Saddle up and roam the Wild West as outlaw Arthur Morgan in, a game that paints a breathtaking open-world canvas where every experience is a masterpiece. In this epic tale of loyalty and survival, engage in high-stakes shootouts, daring train heists, and heart-wrenching choices that'll keep you on the edge of your barstool. This rootin'-tootin' adventure has set the gold standard for narrative-driven action games and will leave fans chomping at the bit for more.",Rockstar Studios,Action-adventure,4.8,386850,SS FONG GAMESTORE,,,,,
2,God of War,2018,"Witness Kratos, the Ghost of Sparta, embark on a thrilling Norse odyssey alongside his son Atreus to spread the ashes of their loved ones, revealing fatherly nuances to a once one-note anti-hero.  satisfying, weighty combat is the cherry on top of its gripping story, rich with Nordic mythology and familial bonds. The game has rejuvenated the franchise, turning it from a hack-n-slash powerhouse into an emotionally resonant experience that'll leave your heart full and your thumbs sore.",SIE Santa Monica Studio,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.8,286200,,,,,,
3,Marvel's Spider-Man,2018,"Swing through the concrete jungle in, experiencing Peter Parker's life as both a masked hero and a struggling young adult. Combat crime using aerial acrobatics, combo-laden melee, and an arsenal of web-slinging gadgets that'll have you feeling like a genuine wall-crawler. This web-slingin' spectacle redefined superhero games, delivering a poignant interpretation of the beloved character while setting a new benchmark for comic book adaptations in gaming.",Insomniac Games,Superhero,4.7,568500,,,,,,
4,Ghost of Tsushima,2020,"Embrace the way of the samurai in, a narrative-driven epic set during the Mongol invasion of 13th-century Japan. Become Jin Sakai as he battles between honor and newfound tactics to defend his homeland through visceral combat and stealthy assassinations. This visually stunning and emotionally charged game elegantly captures the essence of its setting, carving out a unique space in the open-world genre.",Sucker Punch Productions,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.8,529500,,,,,,
5,The Last of Us Remastered,2013,"Discover the harrowing tale of Joel and Ellie, two survivors navigating a post-apocalyptic America ravaged by the Cordyceps fungus, in . From tense stealth encounters to adrenaline-fueled shootouts, the grim and grounded gameplay is nothing short of spectacular. A true emotional rollercoaster, this game raised the bar for storytelling in the gaming industry, cementing its legacy as an unforgettable masterpiece.",Naughty Dog,"Shooter, Adventure",4.8,524850,,,,,,
6,Uncharted 4: A Thief's End,2015,"Embark on a globe-trotting treasure hunt with Nathan Drake in , a riveting journey brimming with high-octane action sequences and heartwarming character moments. Engage in thrilling gunplay, exhilarating platforming, and mind-bending puzzles that bring the adrenaline rush of a Hollywood blockbuster to your fingertips. The swan song to a beloved series, this final adventure will leave you breathless and begging for more.",Naughty Dog,"Shooter, Adventure",4.8,521400,,,,,,
7,Horizon Zero Dawn,2017,"Brace yourself for a breathtaking post-apocalyptic world where robotic dinosaurs rule the land in . Play as Aloy, an archer who unravels her origins through a gripping story filled with exploration and tactical, satisfying combat. This truly innovative game has left an indelible mark on the action RPG landscape, offering a fresh take on the genre's conventions.",Guerrilla Games,"Shooter, Role-playing (RPG), Adventure",4.7,479400,,,,,,
8,The Witcher 3: Wild Hunt,2015,"Dive into the morally complex world of Geralt of Rivia in , an engrossing tale of monsters, political intrigue, and tough choices. Battle monstrous beasts and uncover hidden secrets with your silver sword and magical signs, employing nuanced strategies to survive a ruthless world. This sprawling open-world RPG has redefined the genre, with a deep narrative and an immersive world that'll leave you hungering for more.",CD Projekt RED,"Role-playing (RPG), Adventure",4.7,389250,,,,,,
9,Grand Theft Auto V,2013,"Step into the morally murky waters of Los Santos in , an open-world crime epic that lets you live out your criminal fantasies. Pull off audacious heists and wreak havoc in chaotic shootouts as you switch between the game's three protagonists, each with their own enthralling storylines. With a satirical look at modern America, this blockbuster hit has left an indelible mark on gaming history, setting an unprecedented benchmark for open-world experiences.",Rockstar North,"Shooter, Racing, Adventure",4.4,326250,,,,,,
10,Uncharted: the Nathan Drake Collection,2015,"Follow treasure hunter Nathan Drake through perilous jungles, ancient ruins, and snow-capped mountains in the . Experience heart-pounding action, death-defying platforming, and brain-teasing puzzles across three remastered adventures that defined a generation. The collection is a testament to the iconic franchise's enduring popularity, combining electrifying gameplay with unforgettable storytelling.",,,4.8,298500,,,,,,
11,Resident Evil 2 (Remake),2019,"Survive the horrifying confines of Raccoon City as rookie cop Leon S. Kennedy and college student Claire Redfield in the masterful remake of. Face off against hordes of gruesome zombies and monstrous creatures in a nerve-wracking blend of survival horror and puzzle-solving. This lovingly crafted reimagining of a classic game has raised the bar for remakes, delivering modern gameplay while retaining the terror that made the original so iconic.",Capcom Development Division 1,"Shooter, Adventure",4.7,427500,,,,,,
12,Batman: Arkham Knight,2015,"Soar through the rain-soaked streets of Gotham City in , the thrilling conclusion to Rocksteady's acclaimed Arkham series. Utilize an extensive arsenal of gadgets and martial prowess to foil the schemes of iconic villains, all while grappling with the mysterious new threat, the Arkham Knight. A technical marvel, this gripping adventure has cemented the franchise's status as a benchmark for superhero games and dark, atmospheric storytelling.",Rocksteady Studios,"Hack and slash/Beat 'em up, Adventure",4.6,322350,,,,,,
13,Elden Ring,2022,"Enter a dark and twisted world in, the latest brainchild from the minds behind Dark Souls and celebrated author George R.R. Martin. Immerse yourself in a rich, sprawling open world teeming with brutal challenges and terrifying enemies that demand strategic mastery of intense, methodical combat. Destined to make an indelible mark on the action RPG scene, this highly anticipated title is shaping up to be a grim, engrossing experience like no other.",FromSoftware,"Role-playing (RPG), Adventure",4.3,598200,,,,,,
14,Bloodborne,2015,"Plunge into the enigmatic world of Yharnam in , a haunting gothic tale that pits you against unspeakable horrors lurking in the shadows. Engage in fast-paced, aggressive combat as you unravel the mysteries hidden within the sprawling cityscape. A bloody love letter to the series, this visceral adventure whisks players away into a nightmarish dreamscape they'll never forget.",FromSoftware,Action role-playing,4.6,599850,,,,,,
15,The Last of Us Part II,2020,"Venture into the desolate post-pandemic world once more in, a gut-wrenching journey of vengeance where the line between heroes and villains blurs. Step into the shoes of Ellie as she embarks on an emotionally charged odyssey filled with stealthy encounters, riveting gunplay, and brutal melee combat. A bold and polarizing narrative, this ambitious sequel has raised the bar for character-driven storytelling, reaffirming the franchise's place in gaming history.",Naughty Dog,"Shooter, Adventure",3,524850,,,,,,
16,The Elder Scrolls V: Skyrim Anniversary Edition,2021,"Delve into the vast, snow-capped expanse of Tamriel in , an open-world epic where dragons reign supreme and heroes are forged. Create your ideal adventurer and embark on an immersive quest filled with branching storylines, thrilling combat, and a sprawling world ripe for exploration. A testament to the game's lasting legacy, this definitive edition breathes new life into a timeless RPG classic, solidifying Skyrim's place in the annals of gaming history.",Bethesda Game Studios,Role-playing game,2.9,387000,,,,,,
17,Resident Evil 7: Biohazard,2017,"Discover the sinister secrets that lie within the Baker family plantation in , a chilling return to the series' survival horror roots. Explore a macabre, claustrophobic environment through a first-person perspective, engaging in tense shootouts and nerve-racking stealth sequences. This gripping reinvention has breathed new life into the classic franchise, providing fans with an unforgettable blend of terror and tension.",Capcom,"Shooter, Puzzle, Adventure",4.3,337050,,,,,,
18,Fallout 4,2015,"Step out of Vault 111 and into the post-apocalyptic wasteland of , a sprawling open-world adventure where humanity clings to the remnants of civilization. Craft your own story as the Sole Survivor, battling mutated creatures and warring factions while modding weapons, building settlements, and making tough moral choices. A radioactive delight, proved once again that, in the world of RPGs, nothing quite captures the imagination like the end of the world.",Bethesda Game Studios,"Shooter, Role-playing (RPG)",3.6,749850,,,,,,
19,Days Gone,2019,"Jump on the saddle and ride through a post-apocalyptic world ravaged by a deadly pandemic in . As biker and bounty hunter Deacon St. John, you'll face hordes of Freakers, marauding bandits, and heart-wrenching decisions, all set against an unforgiving, yet beautiful open world. With its compelling story and relentless action, has cemented itself as a unique and thrilling addition to the zombie apocalypse genre.",SIE Bend Studio,"Shooter, Adventure",4.7,399150,,,,,,
20,Assassin's Creed IV: Black Flag,2013,"Hoist the Jolly Roger and take to the high seas in , a swashbuckling adventure set in the golden age of piracy. Step into the boots of Edward Kenway, a charismatic pirate-turned-Assassin, as he navigates treacherous waters filled with ruthless naval combat, daring ship battles, and hidden treasures. This crowd-pleasing installment in the  franchise has carved a special place in gamers' hearts, setting sail as one of the most captivating entries to date.","Ubisoft Ukraine, Ubisoft Romania, Ubisoft Quebec, Ubisoft Montreal, Ubisoft Montpellier","Action-adventure game, Stealth game",4.6,329850,,,,,,
21,Doom,2016,"Rip and tear your way through the hordes of Hell in , the bombastic reboot of the classic FPS series that defined a genre. Armed with an arsenal of devastating weaponry, obliterate demons and leave a path of destruction in your wake. This adrenaline-fueled, blood-soaked adventure is a love letter to the golden age of shooters, injecting a modern edge into a classic formula.",id Software,"Shooter, Puzzle",4.7,524850,,,,,,
22,Tomb Raider: Definitive Edition,2013,"Rebooting and redefining an icon,  thrusts players into the gritty origin story of Lara Croft as she evolves from a vulnerable survivor into the fearless explorer we love. Navigate treacherous environments, engage in visceral combat, and uncover ancient mysteries in this cinematic adventure. With an emotionally charged narrative and gripping gameplay,  proved that even old dogs can learn new tricks.",Crystal Dynamics,"Shooter, Platform, Puzzle, Adventure",4.8,306750,,,,,,
23,Rise of the Tomb Raider,2015,"Lara Croft returns in , further fusing thrilling action and captivating exploration in her pursuit of the secret to eternal life. Delve into labyrinthine tombs, master a ruthless environment, and face off against deadly foes in this pulse-pounding adventure. With its breathtaking visuals and engaging gameplay, Lara's latest journey has raised the bar for the action-adventure genre.",Crystal Dynamics,"Shooter, Adventure",4.6,355500,,,,,,
24,Sekiro: Shadows Die Twice,2019,"Step into the shoes of a shinobi in , a brutally challenging action game set against the backdrop of a war-torn Japan. Hone your blade and augment your prosthetic arm as you engage in white-knuckle duels and death-defying traversal. A heart-pounding fusion of strategy and skill,  is a testament to the unyielding spirit of the shinobi.",FromSoftware,Adventure,4.4,719850,,,,,,
25,Nier Autometa,2017,"Take on the role of combat androids 2B, 9S, and A2 in , a post-apocalyptic tale that seamlessly blends action-packed combat and philosophical themes. Battle against mechanical adversaries, explore a desolate world, and unravel the mysteries of humanity's tragic downfall. Praised for its unique storytelling and innovative gameplay,is a bold and striking reminder of the transformative power of video games as an art form.",PlatinumGames,"Role-playing (RPG), Hack and slash/Beat 'em up",4.8,330000,,,,,,
